College Name,Average Count,Faculty,GRE,Department Size,Regional Code,Pub Count
Carnegie Mellon University,3.6132553752509193,4.6187210773761045,0.35950964674212993,Large,NE,0.028839963022260173
Massachusetts Institute of Technology,2.7525181075159866,1.4866309932682373,-1.3438952995348044,Large,NE,0.6138132929869117
Stanford University,2.5699374749661525,1.000617014699775,1.113547438380139,Large,W,3.701732853748593
University of California--Berkeley,1.8135319972596968,0.730609248828407,0.19119763968005402,Large,W,1.5064019085364238
University of Illinois--Urbana-Champaign,1.578785469695624,1.000617014699775,-1.3438952995348044,Large,MW,0.6760087332417746
University of Washington,1.526619574681386,0.730609248828407,0.7617097675137968,Large,W,-0.3392898049727361
Georgia Institute of Technology,1.1614583095817177,2.404657397230888,0.8103235212418248,Large,SA,-0.5544524090976656
University of California--San Diego,0.8745458870034071,0.6766076956541335,0.8500189244658374,Large,W,0.6692849018628704
Cornell University,0.6397993594393344,0.46060148295703923,1.113547438380139,Large,NE,-0.5628571983212955
University of Michigan,0.6137164119322153,1.4326294400939636,1.113547438380139,Large,MW,0.9247904942612237
University of Texas--Austin,0.5615505169179767,0.35259837660849225,0.16487976221216474,Large,SC,0.6440705341919802
Columbia University,0.48330167439661953,0.6766076956541335,0.0815543893653396,Large,NE,0.736523215651911
University of Massachusetts--Amherst,0.4572187268895005,0.5686045893055865,0.7638082029265084,Large,NE,-0.028312603698423967
University of Maryland--College Park,0.27463809433966613,0.2985968234342184,0.3473562083100955,Large,SA,0.20870245240794366
University of Wisconsin--Madison,0.1703063043111894,-0.07941404878569654,0.49756920993743625,Large,MW,0.09944019250075287
University of Southern California,-0.0122743282386446,0.5686045893055865,0.4972194707019808,Large,W,0.6104513772974599
University of California--Los Angeles,-0.0383572757457639,-0.24141870830851733,0.8742383665209954,Large,W,0.44067463498013293
Northeastern University,-0.11660611826712132,0.5146030361313128,0.8887525447923159,Large,NE,-1.1713639381121117
Purdue University--West Lafayette,-0.2209379082955979,0.2985968234342184,-1.3438952995348044,Large,MW,0.12129264448219097
Harvard University,-0.2731038033098363,-0.403423367831338,0.5630578817761204,Small,NE,0.5264034850611595
University of Pennsylvania,-0.2731038033098363,-0.24141870830851733,1.113547438380139,Large,NE,1.0693528689076612
University of California--Santa Barbara,-0.32526969832407454,-0.45742492100561166,0.49992994977674193,Small,W,2.4342906388251815
Princeton University,-0.32526969832407454,-0.5114264741798852,0.8038533453859665,Small,NE,0.2490454406813678
New York University,-0.3774355933383129,-0.403423367831338,0.7297086274697808,Small,NE,-0.5410047463398575
Ohio State University,-0.3774355933383129,0.13659216391139778,0.9440113439939947,Large,MW,0.3751172790358183
University of California--Davis,-0.4035185408454321,-0.5114264741798852,-1.4555495504533698,Small,W,0.015392300264451922
Rutgers The State University of New Jersey--New Brunswick,-0.42960148835255135,-0.18741715513424367,-2.575064843140438,Large,NE,-1.1427876547517692
University of Minnesota--Twin Cities,-0.42960148835255135,0.028589057562850618,-0.8875730320766656,Large,MW,-0.061931760592944286
Brown University,-0.5078503308739087,-0.6734311337027059,-1.656387306412609,Small,NE,0.11288785525856113
Northwestern University,-0.5339332783810279,-0.07941404878569654,-0.015847987708479505,Large,MW,-1.848789949536694
Pennsylvania State University,-0.5600162258881471,-0.45742492100561166,0.21095790648318408,Small,NE,0.4709318761852009
Texas A&M University--College Station,-0.5600162258881471,-0.02541249561142304,-1.1072967067504118,Large,SC,-1.6655655444615587
State University of New York--Stony Brook,-0.5860991733952662,-0.18741715513424367,0.7215771902454675,Large,NE,0.42050314084342083
Indiana University--Bloomington,-0.5860991733952662,-0.07941404878569654,-1.9696662265702058,Large,MW,-1.3781217530134109
Duke University,-0.5860991733952662,-0.7814342400512531,1.113547438380139,Small,SA,1.1332292670072497
Rice University,-0.5860991733952662,-0.9974404527483474,1.113547438380139,Small,SC,-0.01990781447479412
University of Utah,-0.6121821209023854,-0.403423367831338,-0.9493020071342527,Small,W,-1.107487540012523
Johns Hopkins University,-0.6121821209023854,-0.6734311337027059,-1.825573661563308,Small,SA,0.04060666793534239
University of Chicago,-0.6382650684095045,-0.45742492100561166,-0.6999379322558064,Small,MW,0.18516904258177894
University of California--Irvine,-0.6643480159166238,-0.45742492100561166,0.0034751050503137575,Small,W,-0.3829947089356129
Boston University,-0.7425968584379812,-1.1594451122711682,-0.4165617167294937,Small,NE,0.04901145715897224
University of Colorado--Boulder,-0.7425968584379812,-0.24141870830851733,-2.2867048435089097,Large,W,-1.6353083032564908
University of North Carolina--Chapel Hill,-0.7425968584379812,-0.7814342400512531,0.6188412898309776,Small,SA,-0.7881055495145812
Dartmouth College,-0.7425968584379812,-0.9974404527483474,0.5754736246347288,Small,NE,-0.8318104534774575
Yale University,-0.7686798059451004,-0.9974404527483474,1.113547438380139,Small,NE,-0.4619997276377348
University of Virginia,-0.7686798059451004,-0.9974404527483474,0.11136965918776216,Small,SA,-0.793148423048759
University of Rochester,-0.7686798059451004,-0.9974404527483474,-0.10826658067710286,Small,NE,0.5885989253160218
Arizona State University,-0.7947627534522196,-1.2134466654454417,-0.008765768190561905,Small,W,-0.3392898049727361
University of Arizona,-0.7947627534522196,-0.9974404527483474,-0.27509219598849577,Small,W,-0.488895053153351
Virginia Polytechnic Institute and State University,-0.7947627534522196,-0.24141870830851733,-0.6351487388880129,Large,SA,-1.5344508325729298
Washington University in St. Louis,-0.7947627534522196,-1.0514420059226208,0.2391993497460632,Small,MW,-0.9746918702791684
