College Name,Average Count,Faculty,GRE,Department Size,Regional Code,Pub Count
Carnegie Mellon University,3.61325537525092,4.618721077376106,0.35950964674211056,Large,NE,0.028839963022260173
Massachusetts Institute of Technology,2.752518107515987,1.4866309932682378,-1.343895299534795,Large,NE,0.6138132929869117
Stanford University,2.569937474966153,1.0006170146997757,1.1135474383801403,Large,W,3.701732853748593
University of California--Berkeley,1.813531997259697,0.7306092488284074,0.1911976396800546,Large,W,1.5064019085364238
University of Illinois--Urbana-Champaign,1.5787854696956243,1.0006170146997757,-1.343895299534795,Large,MW,0.6760087332417746
University of Washington,1.5266195746813862,0.7306092488284074,0.7617097675137876,Large,W,-0.3392898049727361
Georgia Institute of Technology,1.1614583095817181,2.404657397230889,0.8103235212418459,Large,SA,-0.5544524090976656
University of California--San Diego,0.8745458870034075,0.6766076956541339,0.8500189244658286,Large,W,0.6692849018628704
Cornell University,0.6397993594393347,0.4606014829570395,1.1135474383801403,Large,NE,-0.5628571983212955
University of Michigan,0.6137164119322157,1.4326294400939643,1.1135474383801403,Large,MW,0.9247904942612237
University of Texas--Austin,0.5615505169179771,0.3525983766084925,0.16487976221216527,Large,SC,0.6440705341919802
Columbia University,0.48330167439662,0.6766076956541339,0.08155438936534008,Large,NE,0.736523215651911
University of Massachusetts--Amherst,0.45721872688950094,0.5686045893055869,0.7638082029265094,Large,NE,-0.028312603698423967
University of Maryland--College Park,0.27463809433966657,0.29859682343421867,0.34735620831009617,Large,SA,0.20870245240794366
University of Wisconsin--Madison,0.17030630431118987,-0.0794140487856964,0.49756920993743703,Large,MW,0.09944019250075287
University of Southern California,-0.012274328238644109,0.5686045893055869,0.49721947070198164,Large,W,0.6104513772974599
University of California--Los Angeles,-0.038357275745763406,-0.24141870830851725,0.8742383665209965,Large,W,0.44067463498013293
Northeastern University,-0.1166061182671208,0.5146030361313131,0.888752544792317,Large,NE,-1.1713639381121117
Purdue University--West Lafayette,-0.2209379082955974,0.29859682343421867,-1.343895299534795,Large,MW,0.12129264448219097
Harvard University,-0.2731038033098358,-0.403423367831338,0.5630578817761213,Small,NE,0.5264034850611595
University of Pennsylvania,-0.2731038033098358,-0.24141870830851725,1.1135474383801403,Large,NE,1.0693528689076612
University of California--Santa Barbara,-0.32526969832407404,-0.4574249210056116,0.49992994977674277,Small,W,2.4342906388251815
Princeton University,-0.32526969832407404,-0.5114264741798852,0.8038533453859475,Small,NE,0.2490454406813678
New York University,-0.3774355933383124,-0.403423367831338,0.7297086274697818,Small,NE,-0.5410047463398575
Ohio State University,-0.3774355933383124,0.13659216391139797,0.9440113439939959,Large,MW,0.3751172790358183
University of California--Davis,-0.40351854084543154,-0.5114264741798852,-1.4555495504533704,Small,W,0.015392300264451922
Rutgers The State University of New Jersey--New Brunswick,-0.4296014883525508,-0.1874171551342436,-2.57506484314044,Large,NE,-1.1427876547517692
University of Minnesota--Twin Cities,-0.4296014883525508,0.028589057562850788,-0.8875730320766659,Large,MW,-0.061931760592944286
Brown University,-0.5078503308739082,-0.673431133702706,-1.65638730641261,Small,NE,0.11288785525856113
Northwestern University,-0.5339332783810273,-0.0794140487856964,-0.015847987708499173,Large,MW,-1.848789949536694
Pennsylvania State University,-0.5600162258881466,-0.4574249210056116,0.21095790648318466,Small,NE,0.4709318761852009
Texas A&M University--College Station,-0.5600162258881466,-0.025412495611422885,-1.1072967067504123,Large,SC,-1.6655655444615587
State University of New York--Stony Brook,-0.5860991733952656,-0.1874171551342436,0.7215771902454882,Large,NE,0.42050314084342083
Indiana University--Bloomington,-0.5860991733952656,-0.0794140487856964,-1.969666226570207,Large,MW,-1.3781217530134109
Duke University,-0.5860991733952656,-0.7814342400512532,1.1135474383801403,Small,SA,1.1332292670072492
Rice University,-0.5860991733952656,-0.9974404527483476,1.1135474383801403,Small,SC,-0.01990781447479412
University of Utah,-0.6121821209023849,-0.403423367831338,-0.9493020071342332,Small,W,-1.107487540012523
Johns Hopkins University,-0.6121821209023849,-0.673431133702706,-1.8255736615633091,Small,SA,0.04060666793534239
University of Chicago,-0.6382650684095039,-0.4574249210056116,-0.6999379322557967,Small,MW,0.18516904258177894
University of California--Irvine,-0.6643480159166233,-0.4574249210056116,0.00347510505031417,Small,W,-0.3829947089356129
Boston University,-0.7425968584379806,-1.1594451122711682,-0.41656171672949366,Small,NE,0.04901145715897224
University of Colorado--Boulder,-0.7425968584379806,-0.24141870830851725,-2.2867048435089212,Large,W,-1.6353083032564908
University of North Carolina--Chapel Hill,-0.7425968584379806,-0.7814342400512532,0.6188412898309785,Small,SA,-0.7881055495145812
Dartmouth College,-0.7425968584379806,-0.9974404527483476,0.5754736246347297,Small,NE,-0.8318104534774575
Yale University,-0.7686798059450999,-0.9974404527483476,1.1135474383801403,Small,NE,-0.4619997276377348
University of Virginia,-0.7686798059450999,-0.9974404527483476,0.11136965918776266,Small,SA,-0.793148423048759
University of Rochester,-0.7686798059450999,-0.9974404527483476,-0.10826658067712261,Small,NE,0.5885989253160218
Arizona State University,-0.794762753452219,-1.2134466654454419,-0.008765768190561503,Small,W,-0.3392898049727361
University of Arizona,-0.794762753452219,-0.9974404527483476,-0.2750921959884956,Small,W,-0.488895053153351
Virginia Polytechnic Institute and State University,-0.794762753452219,-0.24141870830851725,-0.635148738888013,Large,SA,-1.5344508325729298
Washington University in St. Louis,-0.794762753452219,-1.0514420059226213,0.2391993497460638,Small,MW,-0.9746918702791684
