GeneratedScore,College Name,Average Count,Faculty,GRE,Department Size,Regional Code,Pub Count
6.271670328714746,Stanford University,2.569937474966153,1.0006170146997757,1.1135474383801405,Large,W,3.701732853748593
3.6420953382731804,Carnegie Mellon University,3.61325537525092,4.618721077376106,0.3595096467421105,Large,NE,0.0288399630222601
3.3663314005028986,Massachusetts Institute of Technology,2.752518107515987,1.4866309932682378,-1.343895299534795,Large,NE,0.6138132929869117
3.3199339057961206,University of California--Berkeley,1.813531997259697,0.7306092488284074,0.1911976396800546,Large,W,1.5064019085364238
2.254794202937399,University of Illinois--Urbana-Champaign,1.5787854696956245,1.0006170146997757,-1.343895299534795,Large,MW,0.6760087332417746
2.1090209405011073,University of California--Santa Barbara,-0.325269698324074,-0.4574249210056116,0.4999299497767427,Small,W,2.4342906388251815
1.543830788866278,University of California--San Diego,0.8745458870034075,0.6766076956541339,0.8500189244658286,Large,W,0.6692849018628704
1.5385069061934393,University of Michigan,0.6137164119322157,1.4326294400939643,1.1135474383801405,Large,MW,0.9247904942612236
1.219824890048531,Columbia University,0.48330167439662,0.6766076956541339,0.08155438936534,Large,NE,0.736523215651911
1.2056210511099574,University of Texas--Austin,0.5615505169179771,0.3525983766084925,0.1648797622121652,Large,SC,0.6440705341919802
1.1873297697086502,University of Washington,1.5266195746813862,0.7306092488284074,0.7617097675137876,Large,W,-0.3392898049727361
0.7962490655978254,University of Pennsylvania,-0.2731038033098358,-0.2414187083085172,1.1135474383801405,Large,NE,1.0693528689076612
0.6070059004840523,Georgia Institute of Technology,1.161458309581718,2.404657397230889,0.8103235212418459,Large,SA,-0.5544524090976656
0.5981770490588159,University of Southern California,-0.0122743282386441,0.5686045893055869,0.4972194707019816,Large,W,0.6104513772974599
0.5471300936119836,Duke University,-0.5860991733952656,-0.7814342400512532,1.1135474383801405,Small,SA,1.1332292670072492
0.4833405467476101,University of Maryland--College Park,0.2746380943396665,0.2985968234342186,0.3473562083100961,Large,SA,0.2087024524079436
0.42890612319107696,University of Massachusetts--Amherst,0.4572187268895009,0.5686045893055869,0.7638082029265094,Large,NE,-0.0283126036984239
0.40231735923436945,University of California--Los Angeles,-0.0383572757457634,-0.2414187083085172,0.8742383665209965,Large,W,0.4406746349801329
0.26974649681194257,University of Wisconsin--Madison,0.1703063043111898,-0.0794140487856964,0.497569209937437,Large,MW,0.0994401925007528
0.2532996817513237,Harvard University,-0.2731038033098358,-0.403423367831338,0.5630578817761213,Small,NE,0.5264034850611595
0.0769421611180392,Cornell University,0.6397993594393347,0.4606014829570395,1.1135474383801405,Large,NE,-0.5628571983212955
-0.0023183143024940733,Ohio State University,-0.3774355933383124,0.1365921639113979,0.944011343993996,Large,MW,0.3751172790358183
-0.07622425764270618,Princeton University,-0.325269698324074,-0.5114264741798852,0.8038533453859475,Small,NE,0.2490454406813678
-0.08908434970294571,Pennsylvania State University,-0.5600162258881466,-0.4574249210056116,0.2109579064831846,Small,NE,0.4709318761852009
-0.09964526381340649,Purdue University--West Lafayette,-0.2209379082955974,0.2985968234342186,-1.343895299534795,Large,MW,0.1212926444821909
-0.16559603255184485,State University of New York--Stony Brook,-0.5860991733952656,-0.1874171551342436,0.7215771902454882,Large,NE,0.4205031408434208
-0.18008088062907812,University of Rochester,-0.7686798059450999,-0.9974404527483476,-0.1082665806771226,Small,NE,0.5885989253160218
-0.3881262405809796,University of California--Davis,-0.4035185408454315,-0.5114264741798852,-1.4555495504533704,Small,W,0.0153923002644519
-0.3949624756153471,Brown University,-0.5078503308739082,-0.673431133702706,-1.65638730641261,Small,NE,0.1128878552585611
-0.453096025827725,University of Chicago,-0.6382650684095039,-0.4574249210056116,-0.6999379322557967,Small,MW,0.1851690425817789
-0.491533248945495,University of Minnesota--Twin Cities,-0.4296014883525508,0.0285890575628507,-0.8875730320766659,Large,MW,-0.0619317605929442
-0.5715754529670426,Johns Hopkins University,-0.6121821209023849,-0.673431133702706,-1.8255736615633091,Small,SA,0.0406066679353423
-0.6060069878700597,Rice University,-0.5860991733952656,-0.9974404527483476,1.1135474383801405,Small,SC,-0.0199078144747941
-0.6935854012790085,Boston University,-0.7425968584379806,-1.1594451122711682,-0.4165617167294936,Small,NE,0.0490114571589722
-0.91844033967817,New York University,-0.3774355933383124,-0.403423367831338,0.7297086274697818,Small,NE,-0.5410047463398575
-1.0473427248522362,University of California--Irvine,-0.6643480159166233,-0.4574249210056116,0.0034751050503141,Small,W,-0.3829947089356129
-1.1340525584249552,Arizona State University,-0.794762753452219,-1.213446665445442,-0.0087657681905615,Small,W,-0.3392898049727361
-1.2306795335828347,Yale University,-0.7686798059450999,-0.9974404527483476,1.1135474383801405,Small,NE,-0.4619997276377348
-1.2836578066055702,University of Arizona,-0.794762753452219,-0.9974404527483476,-0.2750921959884956,Small,W,-0.488895053153351
-1.2879700563792325,Northeastern University,-0.1166061182671208,0.5146030361313131,0.888752544792317,Large,NE,-1.1713639381121117
-1.5307024079525617,University of North Carolina--Chapel Hill,-0.7425968584379806,-0.7814342400512532,0.6188412898309785,Small,SA,-0.7881055495145812
-1.5618282289938588,University of Virginia,-0.7686798059450999,-0.9974404527483476,0.1113696591877626,Small,SA,-0.793148423048759
-1.57238914310432,Rutgers The State University of New Jersey--New Brunswick,-0.4296014883525508,-0.1874171551342436,-2.57506484314044,Large,NE,-1.1427876547517692
-1.5744073119154383,Dartmouth College,-0.7425968584379806,-0.9974404527483476,0.5754736246347297,Small,NE,-0.8318104534774575
-1.7196696609149078,University of Utah,-0.6121821209023849,-0.403423367831338,-0.9493020071342332,Small,W,-1.107487540012523
-1.7694546237313875,Washington University in St. Louis,-0.794762753452219,-1.0514420059226213,0.2391993497460638,Small,MW,-0.9746918702791684
-1.9642209264086765,Indiana University--Bloomington,-0.5860991733952656,-0.0794140487856964,-1.969666226570207,Large,MW,-1.3781217530134109
-2.2255817703497054,Texas A&M University--College Station,-0.5600162258881466,-0.0254124956114228,-1.1072967067504125,Large,SC,-1.6655655444615587
-2.3292135860251486,Virginia Polytechnic Institute and State University,-0.794762753452219,-0.2414187083085172,-0.635148738888013,Large,SA,-1.5344508325729298
-2.3779051616944713,University of Colorado--Boulder,-0.7425968584379806,-0.2414187083085172,-2.2867048435089212,Large,W,-1.6353083032564908
-2.3827232279177215,Northwestern University,-0.5339332783810273,-0.0794140487856964,-0.0158479877084991,Large,MW,-1.848789949536694
